id,Model,ProductCode,PlannedQty,OTSTargeDate
2074,GT5A1,NB01,1,2020/10/9
2075,GL5A0,NB01,40,2020/11/13
2076,GL5A0,NB01,30,2020/11/13
2077,GT4A1,NB01,1,2020/10/9
2078,GP540,NB01,11,2020/10/9
2079,GT4A1,NB01,2,2020/10/9
2080,GX4A0,NB01,5,2020/10/9
2081,GX4A0,NB01,1,2020/10/9
2082,FYG40,NB01,1,2020/10/31
2083,FYG40,NB01,2,2020/10/31
2084,FYG40,NB01,2,2020/10/31
2085,GP5A1,NB01,2,2020/10/31
2086,GP540,NB01,1,2020/10/31
2087,GT4A0,NB01,1,2020/11/1
2088,GT4A0,NB01,1,2020/11/1
2089,GP5A1,NB01,1,2020/11/1
2090,GP540,NB01,1,2020/11/1
2091,GP5A1,NB01,1,2020/11/1
2092,FYG40,NB01,4,2020/11/1
2093,GV451,NB12,300,2020/10/2
2094,GT4A0,NB01,4,2020/10/27
2095,GYG41,NB12,300,2020/10/20
2096,GS454,NB12,3,2020/10/27
2097,GYG50,NB01,5,2020/10/9
2098,GP5A1,NB01,1,2020/11/1
2099,GV451,NB12,300,2020/10/2
2100,GV451,NB12,108,2020/10/2
2101,GV451,NB12,300,2020/10/2
2102,GV451,NB12,300,2020/10/2
2103,GV451,NB12,300,2020/10/2
2104,GV451,NB12,100,2020/10/2
2105,GYG51,NB12,2,2020/11/2
2106,GYG51,NB12,300,2020/11/2
2107,GYG51,NB12,268,2020/11/2
2108,GYG51,NB12,30,2020/11/2
2109,HC110,NB12,1,2020/11/1
2110,GX4A0,NB01,1,2020/10/27
2111,GP54G,NB01,5,2020/10/28
2112,GT4A0,NB01,5,2020/10/28
2113,GL4A0,NB01,30,2020/10/28
2114,GP54G,NB01,2,2020/10/28
2115,GP54G,NB01,2,2020/10/28
2116,FYG50,NB12,1,2020/10/28
2117,FP730,NB01,3,2020/10/28
2118,FP730,NB01,2,2020/10/28
2119,GL4A0,NB01,5,2020/10/28
2120,GT4A0,NB01,1,2020/10/28
2121,GYG41,NB12,139,2020/10/20
2122,HC131,NB12,25,2020/11/4
2123,FG5N0,NB12,300,2020/10/18
2124,FG5N0,NB12,36,2020/10/18
2125,FG5N0,NB12,300,2020/10/26
2126,FG5N0,NB12,300,2020/10/26
2127,FG5N0,NB12,167,2020/10/26
2128,FG5N0,NB12,300,2020/10/26
2129,FG5N0,NB12,300,2020/10/26
2130,FG5N0,NB12,184,2020/10/26
2131,FG5NC,NB12,10,2020/11/2
2132,GT4A0,NB01,3,2020/10/29
2133,GP54G,NB01,1,2020/10/27
2134,GL4A0,NB01,1,2020/10/27
2135,GT4A0,NB01,3,2020/10/29
2136,GX3A1,NB01,1,2020/10/27
2137,GL4A0,NB01,1,2020/10/28
2138,GYG50,NB01,2,2020/10/28
2139,GX3A1,NB01,1,2020/10/28
2140,GX3A1,NB01,1,2020/10/28
2141,GX3A1,NB01,1,2020/10/28
2142,GX3A1,NB01,1,2020/10/28
2143,GX4A0,NB01,20,2020/10/28
2144,GX4A0,NB01,1,2020/10/9
2145,GT4A1,NB01,20,2020/10/7
2146,GL4A0,NB01,1,2020/10/9
2147,GT4A1,NB01,80,2020/10/9
2148,GX3A1,NB01,10,2020/11/18
2149,GT4A1,NB01,15,2020/10/9
2150,GT4A1,NB01,2,2020/10/9
2151,GT5A1,NB01,2,2020/10/9
2152,GL4A0,NB01,5,2020/10/9
2153,GV450,NB12,100,2020/11/2
2154,GT4A1,NB01,40,2020/10/10
2155,GL4A0,NB01,10,2020/11/1
2156,GP5A1,NB01,3,2020/11/1
2157,FX490,NB01,1,2020/11/1
2158,GT4A0,NB01,3,2020/11/1
2159,FYG40,NB01,1,2020/11/1
2160,GP5A1,NB01,10,2020/11/1
2161,GP5A1,NB01,1,2020/11/1
2162,GP5A1,NB01,1,2020/11/1
2163,GP5A1,NB01,1,2020/11/1
2164,GP740,NB01,8,2020/11/13
2165,GP740,NB01,7,2020/11/13
2166,HC150,NB12,272,2020/10/2
2167,FX490,NB01,2,2020/10/28
2168,FG5NC,NB12,30,2020/11/2
2169,GY530,NB12,1,2020/11/3
2170,GT4A1,NB01,250,2020/10/10
2171,GP740,NB01,4,2020/11/13
2172,HC150,NB12,300,2020/10/2
2173,HC150,NB12,10,2020/10/2
2174,HC150,NB12,300,2020/10/2
2175,HC150,NB12,300,2020/10/2
2176,HC110,NB12,1,2020/11/1
2177,HS150,NB12,1,2020/11/2
2178,HC110,NB12,2,2020/11/1
2179,HC131,NB12,21,2020/11/2
2180,HC150,NB12,130,2020/10/21
2181,GYG91,NB12,264,2020/11/2
2182,GYG91,NB12,237,2020/10/28
2183,FX490,NB01,98,2020/10/28
2184,FX490,NB01,2,2020/10/28
2185,FX490,NB01,264,2020/10/28
2186,GT4A0,NB01,3,2020/10/29
2187,GT4A0,NB01,2,2020/10/30
2188,DMX3A,NB01,2,2020/10/28
2189,GYG50,NB01,2,2020/10/29
2190,FP530,NB01,8,2020/10/28
2191,GT4A0,NB01,2,2020/10/28
2192,GT4A0,NB01,300,2020/10/28
2193,GT4A0,NB01,98,2020/10/28
2194,FG5NC,NB12,90,2020/11/2
2195,GX3A1,NB01,2,2020/11/6
2196,GX3A1,NB01,1,2020/11/6
2197,GX3A1,NB01,1,2020/11/6
2198,GV551,NB12,300,2020/10/2
2199,GV551,NB12,200,2020/10/2
2200,FY515,NB12,100,2020/10/2
2201,FY515,NB12,100,2020/10/2
2202,GV450,NB12,300,2020/11/2
2203,GV450,NB12,200,2020/11/2
2204,FY515,NB12,2,2020/11/2
2205,GX3A1,NB01,1,2020/10/29
2206,GY55D,NB12,199,2020/11/2
2207,FE595,NB01,1,2020/10/30
2208,FE595,NB01,1,2020/10/31
2209,GP540,NB01,2,2020/11/2
2210,GP540,NB01,2,2020/11/2
2211,GX3A1,NB01,1,2020/10/31
2212,GX3A1,NB01,1,2020/10/31
2213,GX3A1,NB01,1,2020/10/31
2214,GP540,NB01,5,2020/10/31
2215,HC131,NB12,100,2020/11/2
2216,HC131,NB12,100,2020/11/2
2217,GX3A1,NB01,1,2020/10/31
2218,GL4A0,NB01,50,2020/10/10
2219,GL5A0,NB01,2,2020/10/10
2220,GL4A0,NB01,50,2020/10/10
2221,GYG50,NB01,4,2020/10/11
2222,GYG50,NB01,20,2020/10/11
2223,GT4A1,NB01,5,2020/10/10
2224,GX4A0,NB01,20,2020/10/10
2225,GT4A1,NB01,1,2020/10/10
2226,GL4A0,NB01,1,2020/10/10
2227,GL5A0,NB01,3,2020/10/10
2228,GT4A1,NB01,2,2020/10/10
2229,GP740,NB01,8,2020/11/13
2230,GT4A0,NB01,5,2020/11/1
2231,GT4A0,NB01,29,2020/11/1
2232,GT4A0,NB01,1,2020/11/1
2233,GT5A1,NB01,1,2020/11/1
2234,GP5A1,NB01,1,2020/11/1
2235,DMX3A,NB01,1,2020/11/1
2236,FX490,NB01,10,2020/11/1
2237,FX490,NB01,5,2020/11/1
2238,FX490,NB01,5,2020/11/1
2239,FP530,NB01,2,2020/11/1
2240,FYG40,NB01,1,2020/11/1
2241,GYG51,NB12,2,2020/11/2
2242,FYG50,NB12,1,2020/10/29
2243,FY515,NB12,148,2020/11/2
2244,FYG50,NB12,1,2020/10/31
2245,GT4A1,NB01,98,2020/10/10
2246,GYG50,NB01,5,2020/11/1
2247,GYG51,NB12,123,2020/11/2
2248,FYG80,NB12,300,2020/11/2
2249,FYG80,NB12,300,2020/11/2
2250,FYG80,NB12,200,2020/11/2
2251,FYG41,NB12,300,2020/11/2
2252,FYG41,NB12,100,2020/11/2
2253,HC110,NB12,2,2020/11/1
2254,FE5A0,NB01,10,2020/9/14
2255,GP540,NB01,174,2020/9/15
2256,HC110,NB12,2,2020/11/1
2257,HC110,NB12,1,2020/11/1
2258,HC150,NB12,50,2020/11/2
2259,GX4A0,NB01,2,2020/10/29
2260,GX4A0,NB01,2,2020/10/29
2261,FYG50,NB12,1,2020/10/29
2262,GL4A0,NB01,42,2020/10/29
2263,FYG50,NB12,1,2020/10/29
2264,FYG80,NB12,1,2020/10/29
2265,GYG50,NB01,23,2020/10/29
2266,FP730,NB01,2,2020/10/29
2267,GP5A1,NB01,10,2020/10/29
2268,GX4A0,NB01,1,2020/10/29
2269,FX490,NB01,10,2020/10/29
2270,GV451,NB12,200,2020/11/2
2271,GV451,NB12,300,2020/10/2
2272,GV451,NB12,200,2020/10/2
2273,GV451,NB12,300,2020/11/2
2274,GV451,NB12,200,2020/11/2
2275,GS550,NB12,80,2020/11/2
2276,GV450,NB12,8,2020/7/24
2277,GY535,NB12,1,2020/7/22
2278,GS450,NB12,300,2020/10/28
2279,GS450,NB12,200,2020/10/28
2280,GS450,NB12,300,2020/10/30
2281,GS345,NB12,1,2020/10/31
2282,GX3A1,NB01,1,2020/10/31
2283,GYG50,NB01,1,2020/11/3
2284,FX490,NB01,1,2020/11/3
2285,GX4A0,NB01,1,2020/11/3
2286,GP54G,NB01,1,2020/11/3
2287,GT4A0,NB01,1,2020/11/1
2288,GT4A0,NB01,1,2020/11/1
2289,GX3A1,NB01,2,2020/11/3
2290,HC150,NB12,1,2020/11/1
2291,GT4A0,NB01,1,2020/11/1
2292,GP540,NB01,1,2020/11/1
2293,GY530,NB12,1,2020/11/1
2294,GX4A0,NB01,5,2020/10/10
2295,GT4A1,NB01,35,2020/10/10
2296,GT4A1,NB01,100,2020/10/10
2297,GT4A1,NB01,2,2020/10/10
2298,GT4A1,NB01,98,2020/10/10
2299,GX4A0,NB01,1,2020/10/10
2300,GYG50,NB01,1,2020/10/10
2301,GT4A1,NB01,10,2020/10/10
2302,GT4A1,NB01,300,2020/10/10
2303,GT4A1,NB01,50,2020/10/10
2304,GT4A1,NB01,1,2020/10/10
2305,GY510,NB12,44,2020/10/15
2306,GT4A0,NB01,1,2020/11/1
2307,GT4A0,NB01,1,2020/11/1
2308,GX4A0,NB01,1,2020/11/1
2309,GP5A1,NB01,50,2020/11/2
2310,GP54G,NB01,5,2020/11/2
2311,GT4A0,NB01,1,2020/11/2
2312,FX490,NB01,1,2020/11/2
2313,FX490,NB01,1,2020/11/2
2314,GP54G,NB01,2,2020/11/2
2315,GP540,NB01,5,2020/11/2
2316,GY55D,NB12,1,2020/11/2
2317,FYG40,NB01,20,2020/11/2
2318,FP530,NB01,11,2020/9/16
2319,FYG50,NB12,1,2020/10/29
2320,GS450,NB12,200,2020/10/30
2321,GT4A0,NB01,10,2020/11/1
2322,GX3A1,NB01,1,2020/10/11
2323,FYG40,NB01,1,2020/11/2
2324,GS54D,NB12,150,2020/11/2
2325,GS44D,NB12,2,2020/11/2
2326,GS44D,NB12,300,2020/11/2
2327,GS44D,NB12,98,2020/11/2
2328,FE4A0,NB01,41,2020/9/16
2329,GS550,NB12,2,2020/10/28
2330,GY55H,NB12,300,2020/11/2
2331,GY55H,NB12,120,2020/11/2
2332,FP730,NB01,144,2020/9/19
2333,FP530,NB01,12,2020/9/17
2334,HC150,NB12,30,2020/11/2
2335,FYG41,NB12,1,2020/10/30
2336,FYG50,NB12,1,2020/10/30
2337,FYG50,NB12,1,2020/10/30
2338,GX4A0,NB01,1,2020/10/30
2339,GX4A0,NB01,1,2020/10/31
2340,FYG50,NB12,1,2020/10/31
2341,GX4A0,NB01,1,2020/10/31
2342,GX4A0,NB01,1,2020/10/31
2343,FYG50,NB12,1,2020/10/31
2344,GX4A0,NB01,2,2020/10/31
2345,GP540,NB01,2,2020/10/31
2346,GV450,NB12,300,2020/11/2
2347,GV450,NB12,77,2020/11/2
2348,GV451,NB12,300,2020/10/2
2349,GV451,NB12,200,2020/10/2
2350,GY55M,NB12,97,2020/10/2
2351,GY55M,NB12,3,2020/10/2
2352,GV451,NB12,300,2020/11/2
2353,GV451,NB12,200,2020/11/2
2354,FY516,NB12,20,2020/8/19
2355,FYG80,NB12,20,2020/11/2
2356,FG542,NB12,1,2020/9/7
2357,GP5A1,NB01,1,2020/11/3
2358,GP5A1,NB01,5,2020/11/3
2359,GT4A0,NB01,1,2020/11/1
2360,GT4A0,NB01,1,2020/11/2
2361,GX3A1,NB01,1,2020/11/2
2362,GT4A0,NB01,1,2020/11/2
2363,GT4A0,NB01,175,2020/11/2
2364,GT4A0,NB01,8,2020/11/2
2365,GY55D,NB12,1,2020/11/2
2366,GT4A0,NB01,1,2020/11/2
2367,GY55F,NB12,1,2020/11/2
2368,GX4A0,NB01,4,2020/11/2
2369,GX4A0,NB01,1,2020/10/11
2370,FYG80,NB12,1,2020/10/13
2371,FL590,NB01,1,2020/10/11
2372,GX4A0,NB01,8,2020/10/11
2373,GX4A0,NB01,8,2020/10/11
2374,GX4A0,NB01,1,2020/10/11
2375,GL5A0,NB01,11,2020/10/11
2376,GT4A1,NB01,6,2020/10/13
2377,GT4A1,NB01,6,2020/10/11
2378,GYG50,NB01,1,2020/10/11
2379,GT4A1,NB01,1,2020/10/11
2380,GX4A0,NB01,5,2020/10/11
2381,FYG40,NB01,1,2020/11/2
2382,FYG40,NB01,1,2020/11/2
2383,FYG40,NB01,1,2020/11/2
2384,FYG40,NB01,1,2020/11/2
2385,FYG40,NB01,1,2020/11/2
2386,FYG40,NB01,1,2020/11/2
2387,FYG40,NB01,1,2020/11/2
2388,FYG40,NB01,1,2020/11/2
2389,FYG40,NB01,1,2020/11/2
2390,FYG40,NB01,1,2020/11/2
2391,HC130,NB12,17,2020/11/2
2392,GX4A0,NB01,1,2020/10/31
2393,GY55H,NB12,100,2020/10/26
2394,GX4A0,NB01,1,2020/11/2
2395,GT4A1,NB01,2,2020/10/12
2396,FYG40,NB01,1,2020/11/2
2397,FYG40,NB01,1,2020/11/2
2398,FYG40,NB01,1,2020/11/2
2399,GP5A1,NB01,6,2020/11/2
2400,GY55D,NB12,1,2020/11/2
2401,GT4A0,NB01,1,2020/11/3
2402,GT4A0,NB01,2,2020/11/3
2403,FX490,NB01,5,2020/11/3
2404,FX490,NB01,1,2020/11/3
